11,0.93088,0.066712,0.0024053,0.13961,0.64394,0.21644,0.25245,0.47448,0.27307,-0.0039715,0.0053896,-0.001418,0.0050412,-0.039926,0.034885,0.024179,0.074552,-0.098731,-74.479,14701,47707,18277,3.2023e-142,3.0112e-34,1,912,48,343.59
10,0.90266,0.091379,0.0059632,0.2023,0.76897,0.028733,0.47087,0.46648,0.062652,-0.0063293,0.0056564,0.00067289,0.011256,-0.017125,0.0058689,0.072542,0.091251,-0.16379,-119.41,20717,61016,18539,0.22168,0.31827,0.46004,1274,52,498.86
9,0.89904,0.10093,2.4306e-05,0.18758,0.75503,0.057396,0.1451,0.63773,0.21717,-0.0063777,0.0069414,-0.00056373,0.012088,-0.019864,0.0077759,0.0059139,0.084971,-0.090885,199.65,22238,87751,25733,1.5025e-18,0.63441,0.36559,946,50,385.74
8,0.87491,0.12226,0.0028309,0.14625,0.76645,0.087303,0.1141,0.67784,0.20806,-0.0078118,0.0086073,-0.00079547,0.0094534,-0.022105,0.012651,0.0043355,0.097049,-0.10138,149.07,27263,71306,25404,0.18466,0.10879,0.70655,748,14,88.157
7,0.91421,0.078948,0.0068436,0.34177,0.5719,0.086328,0.34934,0.58044,0.070217,-0.0059654,0.0062079,-0.00024246,0.023544,-0.04957,0.026026,0.026045,0.17194,-0.19799,248.68,36222,1.1115e+05,19808,0.3189,0.53844,0.14266,1468,95,1017.2
6,0.89563,0.10395,0.00041878,0.25219,0.68521,0.062603,0.34622,0.4657,0.18808,-0.0068084,0.0074951,-0.00068673,0.015771,-0.025328,0.0095574,0.03126,0.06709,-0.098351,0.32094,24401,72427,19559,0.16626,0.44747,0.38628,3409,104,3052.2
5,0.86584,0.13366,0.00049412,0.15325,0.77514,0.071616,0.15187,0.65099,0.19714,-0.0084369,0.0094099,-0.00097299,0.0096483,-0.019898,0.01025,0.0094314,0.091043,-0.10047,233.99,22026,71644,22113,0.19646,0.17369,0.62985,3473,36,1094.1
4,0.88379,0.11308,0.0031299,0.24982,0.71462,0.035561,0.3003,0.64411,0.055594,-0.0076969,0.0079155,-0.00021866,0.016055,-0.025286,0.0092312,0.030764,0.16265,-0.19341,403.09,32930,1.1516e+05,25474,0.21034,0.44962,0.34004,2970,78,1968.9
3,0.8759,0.11579,0.0083119,0.19942,0.73181,0.068767,0.23301,0.69557,0.071416,-0.0079823,0.0080597,-7.7391e-05,0.011948,-0.034931,0.022983,0.024761,0.22922,-0.25398,303.03,27915,88047,24001,0.21975,0.32395,0.4563,2734,78,1789.2
2,0.91721,0.08279,5.3657e-07,0.1627,0.70847,0.12883,0.11897,0.70931,0.17171,-0.0051524,0.0069753,-0.0018229,0.011088,-0.038358,0.02727,0.0012138,0.14846,-0.14967,347.01,24890,87866,27003,0.18186,0.25327,0.56487,2455,41,814.97
1,0.8556,0.14256,0.0018453,0.26686,0.69693,0.036213,0.17229,0.74448,0.083236,-0.01001,0.010663,-0.00065304,0.019237,-0.027432,0.008195,-0.0051094,0.16563,-0.16052,514.73,39298,1.1839e+05,23028,0.33856,0.27005,0.39139,2974,49,1309.6
0,0.8512,0.14879,9.6536e-06,0.16015,0.72009,0.11976,0.10927,0.58841,0.30233,-0.0095829,0.011269,-0.0016862,0.01089,-0.026185,0.015295,0.0036761,0.073606,-0.077283,-88.353,25321,78534,22102,0.15789,0.19441,0.6477,2052,57,951.57
